variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data,scale_type,pair_key
T_J1_5,Akses ke cabang XYZ mudah,Akses ke cabang XYZ mudah,XYZ,Ringkasan,,Digitalisasi Cabang,Digitalization,6,1,1730,Ya,AGREEMENT,
T_J1_1,Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK,Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK,XYZ,Ringkasan,,Digitalisasi Cabang,Digitalization,6,1,1730,Ya,AGREEMENT,
T_J1_2,Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ,Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ,XYZ,Ringkasan,,Digitalisasi Cabang,Digitalization,6,1,1730,Ya,AGREEMENT,
T_J1_3,Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ(Note: JAWAB 999 JIKA CABANG TIDAK MEMILIKI SMART TABLE),Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ,XYZ,Ringkasan,,Digitalisasi Cabang,Digitalization,6,1,1581,Ya,AGREEMENT,
T_J1_4,Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang,Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang,XYZ,Ringkasan,,Digitalisasi Cabang,Digitalization,6,1,1730,Ya,AGREEMENT,
T_I1A_45,Saya merasa Diabaikan pada saat menggunakan layanan cabang - kompetitor,Saya merasa Diabaikan pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_33,Saya merasa Frustasi pada saat menggunakan layanan cabang - kompetitor,Saya merasa Frustasi pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_36,Saya merasa Kecewa dengan layanan cabang - kompetitor,Saya merasa Kecewa dengan layanan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_48,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - kompetitor,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_39,Saya merasa Tertekan dengan layanan yang diberikan cabang - kompetitor,Saya merasa Tertekan dengan layanan yang diberikan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_42,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - kompetitor,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_30,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - kompetitor,Saya merasa Tidak Puas dengan layanan yang diberikan cabang,Kompetitor,Ringkasan,,Emosi Negatif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_44,Saya merasa Diabaikan pada saat menggunakan layanan cabang - XYZ,Saya merasa Diabaikan pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_32,Saya merasa Frustasi pada saat menggunakan layanan cabang - XYZ,Saya merasa Frustasi pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_35,Saya merasa Kecewa dengan layanan cabang - XYZ,Saya merasa Kecewa dengan layanan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_47,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - XYZ,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_38,Saya merasa Tertekan dengan layanan yang diberikan cabang - XYZ,Saya merasa Tertekan dengan layanan yang diberikan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_41,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - XYZ,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_29,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - XYZ,Saya merasa Tidak Puas dengan layanan yang diberikan cabang,XYZ,Ringkasan,,Emosi Negatif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_21,Layanan cabang Memanjakan Saya sebagai nasabah - kompetitor,Layanan cabang Memanjakan Saya sebagai nasabah,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_27,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - kompetitor,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_6,Saya Percaya dengan layanan cabang - kompetitor,Saya Percaya dengan layanan cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_15,Saya merasa Aman pada saat menggunakan layanan cabang - kompetitor,Saya merasa Aman pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_3,Saya merasa Bahagia pada saat menggunakan layanan cabang - kompetitor,Saya merasa Bahagia pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_9,Saya merasa Dihargai sebagai nasabah oleh cabang - kompetitor,Saya merasa Dihargai sebagai nasabah oleh cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_12,Saya merasa Diperhatikan sebagai nasabah oleh cabang - kompetitor,Saya merasa Diperhatikan sebagai nasabah oleh cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_18,Saya merasa Fokus pada saat menggunakan layanan cabang - kompetitor,Saya merasa Fokus pada saat menggunakan layanan cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_24,Saya merasa Tertarik dengan layanan cabang - kompetitor,Saya merasa Tertarik dengan layanan cabang,Kompetitor,Ringkasan,,Emosi Positif,Emotion,6,1,546,Ya,AGREEMENT,
T_I1A_20,Layanan cabang Memanjakan Saya sebagai nasabah - XYZ,Layanan cabang Memanjakan Saya sebagai nasabah,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_26,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - XYZ,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_5,Saya Percaya dengan layanan cabang - XYZ,Saya Percaya dengan layanan cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_14,Saya merasa Aman pada saat menggunakan layanan cabang - XYZ,Saya merasa Aman pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_2,Saya merasa Bahagia pada saat menggunakan layanan cabang - XYZ,Saya merasa Bahagia pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_8,Saya merasa Dihargai sebagai nasabah oleh cabang - XYZ,Saya merasa Dihargai sebagai nasabah oleh cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_11,Saya merasa Diperhatikan sebagai nasabah oleh cabang - XYZ,Saya merasa Diperhatikan sebagai nasabah oleh cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_17,Saya merasa Fokus pada saat menggunakan layanan cabang - XYZ,Saya merasa Fokus pada saat menggunakan layanan cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
T_I1A_23,Saya merasa Tertarik dengan layanan cabang - XYZ,Saya merasa Tertarik dengan layanan cabang,XYZ,Ringkasan,,Emosi Positif,Emotion,6,1,1730,Ya,AGREEMENT,
F1B,Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor),Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor),Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya,AGREEMENT,
G1C,NPS bank kompetitor,NPS bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,10,1,546,Ya,NPS,
E1B,Tingkat Kepuasan terhadap Bank kompetitor,Tingkat Kepuasan terhadap Bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya,SATISFACTION,
F1A,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya,AGREEMENT,
G1A,NPS Bank XYZ,NPS Bank XYZ,XYZ,Ringkasan,,KPI Utama,KPI,10,1,1730,Ya,NPS,
E1A,Tingkat Kepuasan terhadap XYZ,Tingkat Kepuasan terhadap XYZ,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya,SATISFACTION,
T_H1A_41,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ.1,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_44,Bank ini membuat saya merasa prestigius/bergengsi - XYZ,Bank ini membuat saya merasa prestigius/bergengsi,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_38,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali - XYZ,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_11,"Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis) - XYZ","Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis)",XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_17,Bank yang memberikan promo sesuai dengan gaya hidup saya - XYZ,Bank yang memberikan promo sesuai dengan gaya hidup saya,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_35,Bank yang membuat saya merasa up to date/keren/modern - XYZ,Bank yang membuat saya merasa up to date/keren/modern,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_8,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang - XYZ,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_14,"Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain) - XYZ","Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain)",XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_2,"Ke depannya, saya pasti akan tetap menggunakan layanan dari Bank XYZ - XYZ","Ke depannya, saya pasti akan tetap menggunakan layanan dari Bank XYZ",XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_20,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran) - XYZ,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran),XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_5,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun - XYZ,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
